品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,99.45,18.52,60.8,8.8,0.0,6.7253,718.69,705.0,696.0,714.0,-13.69,-22.69,-4.69,正常
纽曼粉,99.45,18.52,61.2,8.3,-0.62,6.7253,721.0,710.5,706.0,715.0,-10.5,-15.0,-6.0,正常
麦克粉,99.45,18.52,60.5,8.5,-0.12,6.7253,716.95,706.5,699.0,714.0,-10.45,-17.95,-2.95,正常
金布巴粉,99.45,18.52,60.3,7.6,-4.05,6.7253,692.9,685.0,673.0,697.0,-7.9,-19.9,4.1,正常
罗伊山粉,99.45,18.52,60.7,9.0,0.0,6.7253,716.59,693.0,687.0,699.0,-23.59,-29.59,-17.59,正常
巴混BRBF,102.069,18.52,63.0,7.5,0.0,6.7253,759.08,764.5,764.0,765.0,5.42,4.92,5.92,正常
SP10粉,99.45,18.52,56.5,7.5,0.143,6.7253,613.34,,,,,,,缺少销售价格
混合粉,99.45,18.52,58.2,8.0,0.0675,6.7253,664.15,658.0,656.0,660.0,-6.15,-8.15,-4.15,正常
超特粉,99.45,18.52,56.5,9.5,0.21,6.7253,569.92,572.0,564.0,580.0,2.08,-5.92,10.08,正常
IOC6粉,99.45,18.52,61.5,9.0,-5.6,6.7253,684.67,696.0,688.0,704.0,11.33,3.33,19.33,正常
印粉57,99.45,18.52,57.0,8.0,0.0,6.7253,688.95,531.5,535.0,528.0,-157.45,-153.95,-160.95,正常
印粉54,99.45,18.52,54.5,9.0,0.0,6.7253,660.84,,,,,,,缺少销售价格
卡粉,113.084,18.52,65.0,8.5,0.0,6.7253,816.34,858.5,848.0,869.0,42.16,31.66,52.66,正常
乌精68,99.45,18.52,68.0,9.0,0.0,6.7253,749.5,,,,,,,缺少销售价格
乌精65,113.084,18.52,65.0,9.0,-1.5,6.7253,801.67,874.0,869.0,879.0,72.33,67.33,77.33,正常
PB块,99.45,18.52,61.6,4.0,0.0,6.7253,865.04,899.0,894.0,904.0,33.96,28.96,38.96,正常
纽曼块,99.45,18.52,62.0,4.1,0.0,6.7253,880.43,908.0,901.0,915.0,27.57,20.57,34.57,正常
SP10块,99.45,18.52,58.7,4.2,0.045,6.7253,804.06,,,,,,,缺少销售价格
罗伊山块,99.45,18.52,60.5,4.8,0.028,6.7253,830.94,863.5,874.0,853.0,32.56,43.06,22.06,正常
