时间节点,计算日期,品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,PLATTS LP,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
M-3,2026-06-01,PB粉,102.0714,12.165,60.8,8.8,0.0,6.7954,0.1874,743.59,705.0,696.0,714.0,-38.59,-47.59,-29.59,正常
M-3,2026-06-01,纽曼粉,101.578,12.165,61.2,8.3,-1.74,6.7954,0.1874,735.35,710.5,706.0,715.0,-24.85,-29.35,-20.35,正常
M-3,2026-06-01,麦克粉,101.578,12.165,60.5,8.5,-1.51,6.7954,0.1874,728.51,706.5,699.0,714.0,-22.01,-29.51,-14.51,正常
M-3,2026-06-01,金布巴粉,100.4287,12.165,60.3,7.6,-6.09,6.7954,0.1874,691.85,685.0,673.0,697.0,-6.85,-18.85,5.15,正常
M-3,2026-06-01,罗伊山粉,102.0714,12.165,60.7,9.0,0.0,6.7954,0.1874,741.21,693.0,687.0,699.0,-48.21,-54.21,-42.21,正常
M-3,2026-06-01,巴混BRBF,106.0262,12.165,63.0,7.5,0.0,6.7954,0.1874,795.24,764.5,764.0,765.0,-30.74,-31.24,-30.24,正常
M-3,2026-06-01,SP10粉,102.0714,12.165,56.5,7.5,0.136,6.7954,0.1874,628.45,,,,,,,缺少销售价格
M-3,2026-06-01,混合粉,101.578,12.165,58.2,8.0,0.0925,6.7954,0.1874,663.86,658.0,656.0,660.0,-5.86,-7.86,-3.86,正常
M-3,2026-06-01,超特粉,101.578,12.165,56.5,9.5,0.1825,6.7954,0.1874,588.34,572.0,564.0,580.0,-16.34,-24.34,-8.34,正常
M-3,2026-06-01,IOC6粉,103.0833,12.165,61.5,9.0,-7.5,6.7954,0.1874,703.82,696.0,688.0,704.0,-7.82,-15.82,0.18,正常
M-3,2026-06-01,印粉57,103.0833,12.165,57.0,8.0,0.0,6.7954,0.1874,564.78,531.5,535.0,528.0,-33.28,-29.78,-36.78,正常
M-3,2026-06-01,印粉54,103.0833,12.165,54.5,9.0,0.0,6.7954,0.1874,684.43,,,,,,,缺少销售价格
M-3,2026-06-01,卡粉,116.3695,12.165,65.0,8.5,0.0,6.7954,0.1874,847.63,858.5,848.0,869.0,10.87,0.37,21.37,正常
M-3,2026-06-01,乌精68,116.3695,12.165,68.0,9.0,0.0,6.7954,0.1874,880.69,,,,,,,缺少销售价格
M-3,2026-06-01,乌精65,116.3695,12.165,65.0,9.0,-3.468182,6.7954,0.1874,818.93,874.0,869.0,879.0,55.07,50.07,60.07,正常
M-3,2026-06-01,PB块,102.0714,12.165,61.6,4.0,0.0,6.7954,0.1874,866.81,899.0,894.0,904.0,32.19,27.19,37.19,正常
M-3,2026-06-01,纽曼块,102.5774,12.165,62.0,4.1,0.0,6.7954,0.1874,883.42,908.0,901.0,915.0,24.58,17.58,31.58,正常
M-3,2026-06-01,SP10块,102.0714,12.165,58.7,4.2,0.057,6.7954,0.1874,792.83,,,,,,,缺少销售价格
M-3,2026-06-01,罗伊山块,102.0714,12.165,60.5,4.8,0.028,6.7954,0.1874,830.12,863.5,874.0,853.0,33.38,43.88,22.88,正常
M-2,2026-07-01,PB粉,99.8548,12.4272,60.8,8.8,0.0,6.7938,0.219,727.97,705.0,696.0,714.0,-22.97,-31.97,-13.97,正常
M-2,2026-07-01,纽曼粉,97.587,12.4272,61.2,8.3,-1.33,6.7938,0.219,709.88,710.5,706.0,715.0,0.62,-3.88,5.12,正常
M-2,2026-07-01,麦克粉,97.587,12.4272,60.5,8.5,-1.33,6.7938,0.219,701.83,706.5,699.0,714.0,4.67,-2.83,12.17,正常
M-2,2026-07-01,金布巴粉,96.5701,12.4272,60.3,7.6,-5.98,6.7938,0.219,665.43,685.0,673.0,697.0,19.57,7.57,31.57,正常
M-2,2026-07-01,罗伊山粉,99.8548,12.4272,60.7,9.0,0.0,6.7938,0.219,725.66,693.0,687.0,699.0,-32.66,-38.66,-26.66,正常
M-2,2026-07-01,巴混BRBF,104.1643,12.4272,63.0,7.5,0.0,6.7938,0.219,781.62,764.5,764.0,765.0,-17.12,-17.62,-16.62,正常
M-2,2026-07-01,SP10粉,99.8548,12.4272,56.5,7.5,0.177,6.7938,0.219,592.81,,,,,,,缺少销售价格
M-2,2026-07-01,混合粉,97.587,12.4272,58.2,8.0,0.1025,6.7938,0.219,633.91,658.0,656.0,660.0,24.09,22.09,26.09,正常
M-2,2026-07-01,超特粉,97.587,12.4272,56.5,9.5,0.18,6.7938,0.219,569.07,572.0,564.0,580.0,2.93,-5.07,10.93,正常
M-2,2026-07-01,IOC6粉,100.8413,12.4272,61.5,9.0,-6.504348,6.7938,0.219,694.82,696.0,688.0,704.0,1.18,-6.82,9.18,正常
M-2,2026-07-01,印粉57,100.8413,12.4272,57.0,8.0,0.0,6.7938,0.219,522.63,531.5,535.0,528.0,8.87,12.37,5.37,正常
M-2,2026-07-01,印粉54,100.8413,12.4272,54.5,9.0,0.0,6.7938,0.219,670.51,,,,,,,缺少销售价格
