品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,102.0714,12.165,60.8,8.8,0.0,6.7954,743.59,705.0,696.0,714.0,-38.59,-47.59,-29.59,正常
纽曼粉,104.75,12.165,61.2,8.3,-1.74,6.7954,757.76,710.5,706.0,715.0,-47.26,-51.76,-42.76,正常
麦克粉,104.75,12.165,60.5,8.5,-1.51,6.7954,750.61,706.5,699.0,714.0,-44.11,-51.61,-36.61,正常
金布巴粉,104.75,12.165,60.3,7.6,-6.09,6.7954,722.16,685.0,673.0,697.0,-37.16,-49.16,-25.16,正常
罗伊山粉,102.0714,12.165,60.7,9.0,0.0,6.7954,741.21,693.0,687.0,699.0,-48.21,-54.21,-42.21,正常
巴混BRBF,106.0262,12.165,63.0,7.5,0.0,6.7954,795.24,764.5,764.0,765.0,-30.74,-31.24,-30.24,正常
SP10粉,102.0714,12.165,56.5,7.5,0.136,6.7954,628.45,,,,,,,缺少销售价格
混合粉,104.75,12.165,58.2,8.0,0.0925,6.7954,683.26,658.0,656.0,660.0,-25.26,-27.26,-23.26,正常
超特粉,104.75,12.165,56.5,9.5,0.1825,6.7954,605.03,572.0,564.0,580.0,-33.03,-41.03,-25.03,正常
IOC6粉,104.75,12.165,61.5,9.0,-7.5,6.7954,715.56,696.0,688.0,704.0,-19.56,-27.56,-11.56,正常
印粉57,104.75,12.165,57.0,8.0,0.0,6.7954,564.78,531.5,535.0,528.0,-33.28,-29.78,-36.78,正常
印粉54,104.75,12.165,54.5,9.0,0.0,6.7954,694.83,,,,,,,缺少销售价格
卡粉,116.3695,12.165,65.0,8.5,0.0,6.7954,847.63,858.5,848.0,869.0,10.87,0.37,21.37,正常
乌精68,116.3695,12.165,68.0,9.0,0.0,6.7954,880.69,,,,,,,缺少销售价格
乌精65,116.3695,12.165,65.0,9.0,-3.468182,6.7954,818.93,874.0,869.0,879.0,55.07,50.07,60.07,正常
PB块,102.0714,12.165,61.6,4.0,0.0,6.7954,867.22,899.0,894.0,904.0,31.78,26.78,36.78,正常
纽曼块,104.75,12.165,62.0,4.1,0.0,6.7954,900.1,908.0,901.0,915.0,7.9,0.9,14.9,正常
SP10块,102.0714,12.165,58.7,4.2,0.057,6.7954,793.2,,,,,,,缺少销售价格
罗伊山块,102.0714,12.165,60.5,4.8,0.028,6.7954,830.51,863.5,874.0,853.0,32.99,43.49,22.49,正常
